1,Do you like interacting with people in general? (e.g. talking to strangers/friends/family)
2,Do you like working with machines or other hands-on classes? (e.g. at the D&T lab or science practicals)
3,Do you like to look at data (e.g. graphs and charts) and think about what it's for?
4,"Do you like to express your creativity through art? (e.g writing a poem, painting)"
5,Do you enjoy challenging yourself with tough problems?
6,Do you like to do things the fastest way possible? (taking shortcuts etc)
7,"On a scale of 1 to 5, how much do you enjoy the arts? (e.g: Street dance, plays, music) (5 being the best and 1 being the worst)"
8,"On a scale of 1 to 5, how would you describe yourself as a logical person? (5 being the best and 1 being the worst)"
9,"On a scale of 1 to 5, how would you describe yourself as a creative person? (5 being the best and 1 being the worst)"
10,"On a scale of 1 to 5, how would you describe yourself as a outgoing person? (5 being the best and 1 being the worst)"
